Trex,TREX,2-20-20,Materials
Shockwave,SWAV,2-20-20,Medical Devices
FreshPet,FRPT,2-20-20,Consumer Defensive
Etsy,ETSY,2-20-20,Online Retail
Bilibi,BILI,2-20-20,China
FreshPet,FRPT,1-16-20,Consumer Defensive
Datadog,DDOG,1-16-20,Software Developer Helpers
Alteryx,AYX,1-16-20,Business Utilities
Etsy,ETSY,1-16-20,Online Retail
Fastly,FSLY,1-16-20,Software Developer Helpers
Etsy,ETSY,12-12-19,Consumer Cyclical
Shopify,SHOP,12-12-19,Consumer Cyclical
Trex,TREX,12-12-19,Materials
Veeva,VEEV,12-12-19,Business SAAS
Stitch Fix,SFIX,12-12-19,Online Retail
Datadog,DDOG,11-21-19,Software Developer Helpers
Intuitive Surgical,ISRG,11-21-19,Medical Devices
Twilio,TWLO,11-21-19,Software Developer Helpers
Alteryx,AYX,11-21-19,Business Utilities
Zendesk,ZEN,11-21-19,Business SAAS
American Tower,AMT,10-17-19,Real Estate
Twilio,TWLO,10-17-19,Software Developer Helpers
Zuora,ZUO,10-17-19,Business SAAS
Roku,ROKU,10-17-19,Programmatic Advertising
The Trade Desk,TTD,10-17-19,Programmatic Advertising
Veeva Systems,VEEV,9-19-19,Business SAAS
Euronet Worldwide,EEFT,9-19-19,Foreign
The Trade Desk,TTD,9-19-19,Programmatic Advertising
Fastly,FSLY,9-19-19,Software Developer Helpers
Docusign,DOCU,9-19-19,Business Utilities
Facebook,FB,8-15-19,Social Media
American Tower,AMT,8-15-19,Real Estate
Trex,TREX,8-15-19,Materials
MongoDB,MDB,8-15-19,Software Developer Helpers
Take-Two Interactive,TTWO,8-15-19,Consumer Defensive
Baozun,BZUN,7-18-19,China
Zillow Group,Z,7-18-19,Real Estate
Uber,UBER,7-18-19,Consumer Defensive
Facebook,FB,7-18-19,Social Media
Baidu,BIDU,7-18-19,China
Redfin,RDFN,6-20-19,Real Estate
Intuitive Surgical,ISRG,6-20-19,Medical Devices
Upwork,UPWK,6-20-19,Online Retail
Alteryx,AYX,6-20-19,Business Utilities
Abiomed,ABMD,6-20-19,Medical Devices
Xilinx,XLNX,5-16-19,Semiconductors
Alteryx,AYX,5-16-19,Business Utilities
Upwork,UPWK,5-16-19,Online Retail
Trex,TREX,5-16-19,Materials
Abiomed,ABMD,5-16-19,Medical Devices
Docusign,DOCU,4-18-19,Business Utilities
Teladoc Health,TDOC,4-18-19,Health Care
51job,JOBS,4-18-19,China
Arista Networks,ANET,4-18-19,Semiconductors
Chart Industries,GTLS,4-18-19,Industrials
Guardant Health,GH,3-21-19,Health Care
Arista Networks,ANET,3-21-19,Semiconductors
Live Nation Entertainment,LYV,3-21-19,Consumer Cyclical
The Trade Desk,TTD,3-21-19,Programmatic Advertising
Take-Two Interactive,TTWO,3-21-19,Consumer Defensive
Baidu,BIDU,2-21-19,China
Guardant Health,GH,2-21-19,Health Care
Twilio,TWLO,2-21-19,Software Developer Helpers
Zendesk,ZEN,2-21-19,Business SAAS
Hubspot,HUBS,2-21-19,Business SAAS
The Trade Desk,TTD,1-17-19,Programmatic Advertising
Trex,TREX,1-17-19,Materials
Nutanix,NTNX,1-17-19,Semiconductors
HubSpot,HUBS,1-17-19,Business SAAS
Zendesk,ZEN,1-17-19,Business SAAS


